TransactionAmt,card1,addr1,dist1,ProductCD,P_emaildomain,R_emaildomain
175.5328894860108,1669,100.0,44.87579152741844,0,1,2
83.38620531546489,1867,200.0,49.019011653453276,4,1,1
192.4076913205352,1273,200.0,-3.5554536432837125,3,1,0
196.7455764297895,1766,300.0,-2.434023318476008,0,1,1
126.6311994863323,1817,100.0,51.769014969254236,4,1,0
187.3926481013367,1328,100.0,73.17001158810251,0,1,0
139.35094539327008,1686,200.0,30.87332594010816,2,1,1
191.7500758755757,1054,300.0,57.567747868210475,4,2,1
190.86609456281533,1597,100.0,59.19121676740192,0,1,2
86.41255841726128,1869,200.0,59.56263447286837,1,2,1
203.64664829405876,1767,100.0,37.417378981160134,1,0,1
125.13082088914244,1783,200.0,13.484556363333283,2,0,0
280.64299275272947,1645,300.0,52.81286984123531,2,2,0
189.34550250167166,1822,300.0,38.00181763075193,3,2,1
127.47549666309209,1502,200.0,55.66845029098518,0,2,1
270.5422056027977,1802,100.0,62.33918354532072,1,0,2
115.60112989980416,1690,100.0,76.97545688134025,1,2,2
147.65763758299363,1484,200.0,60.04056255478145,2,2,1
248.56077299136632,1004,100.0,42.090120776972135,3,2,1
85.44438605888416,1670,200.0,44.60406122790249,3,0,0
242.51748547011215,1874,200.0,55.896787224307005,4,1,1
62.651942882879574,1279,200.0,53.39215921859926,2,2,2
60.40356198512657,1355,200.0,35.732577657198455,1,0,1
160.94245004362608,1418,200.0,99.93028772041387,0,0,1
208.3799306955143,1702,100.0,66.280505895222,4,2,0
117.81074353207546,1456,200.0,62.0535059422566,4,2,1
177.96892052966624,1492,200.0,36.884256028761,4,0,1
213.47501011092487,1833,200.0,47.14847524067984,1,0,0
246.1930873299137,1434,200.0,66.9674280863237,1,2,1
245.2690775165348,1239,200.0,35.269014288741836,3,1,2
254.35342267609184,1870,200.0,51.420413966728496,1,0,0
274.27524624234917,1862,200.0,34.553417907530154,3,0,2
106.78915674166055,1552,200.0,41.603036102080964,0,1,2
95.26911665198011,1652,300.0,58.74568549200818,4,1,1
90.3645931885515,1491,300.0,77.36798684100808,1,0,1
175.07663340355992,1579,100.0,39.029677802024764,1,2,1
53.649480246184865,1933,200.0,44.20709213116707,1,1,2
133.26851176784737,1640,100.0,40.789949648805454,0,2,0
177.18433863418764,1035,200.0,29.515730895788977,2,1,1
477.54452075999205,1688,300.0,37.284418960216755,1,2,0
168.9901237574227,1132,300.0,65.85410263478016,0,1,1
244.44562558426503,1498,100.0,41.32802396528634,3,2,0
78.94385773166951,1670,300.0,73.3757869661741,2,1,1
38.630398932881846,1778,100.0,33.97464130844109,0,2,0
95.93955319642984,1843,300.0,85.56123217379047,3,2,1
137.7848885373731,1780,300.0,39.44918299843943,1,0,0
48.30280214336444,1707,300.0,38.488839901009214,1,2,1
103.61283236662089,1227,200.0,42.79164285314785,3,1,1
233.67950600202178,1369,100.0,33.305773619651475,2,2,2
178.49473137525106,1510,200.0,43.93754661268153,3,1,0
